"Accession","varImp","Primary_function","Description","Biological_Process","Cellular_Component","Molecular_Function"
"P20618",0.00350821049692732,"intracellular_proteolysis","Proteasome subunit beta type-1 OS=Homo sapiens OX=9606 GN=PSMB1 PE=1 SV=2","protein metabolism;other metabolic processes","non-structural extracellular;cytosol;nucleus;other cell component","other molecular function"
"P12270",0.00349511463839286,"nuclear_transport","Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3","cell cycle OR cell proliferation;cell organization and biogenesis;other metabolic processes;stress response;transport;signal transduction;other biological processes","other membranes;cytoskeleton;nucleus;other cell component","cytoskeletal activity;nucleic acid binding activity;other molecular function"
"P17302",0.00348326795892532,"cell_adhesion_&_contact","Gap junction alpha-1 protein OS=Homo sapiens OX=9606 GN=GJA1 PE=1 SV=2","cell-cell signaling;cell cycle OR cell proliferation;cell organization and biogenesis;stress response;transport;developmental processes;signal transduction;other biological processes","plasma membrane;other membranes;mitochondrion;ER/Golgi;nucleus;other cytoplasmic organelle;other cell component","transporter activity;cytoskeletal activity;other molecular function"
"A0A0B4J2D5",0.00344796100379246,"(none/unknown)","Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3B PE=1 SV=1","","mitochondrion",""
"P81605",0.00344252012579095,"innate_immune_system","Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2","protein metabolism;stress response;other biological processes","non-structural extracellular","other molecular function"
"Q86VW2",0.00328458544704902,"cell_organization","Rho guanine nucleotide exchange factor 25 OS=Homo sapiens OX=9606 GN=ARHGEF25 PE=1 SV=2","other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton","enzyme regulator activity"
"Q14247",0.0032499916162135,"cell_organization","Src substrate cortactin OS=Homo sapiens OX=9606 GN=CTTN PE=1 SV=2","cell adhesion;cell organization and biogenesis;transport;developmental processes;other biological processes","plasma membrane;other membranes;cytosol;cytoskeleton;ER/Golgi;other cell component","cytoskeletal activity;other molecular function"
"E9PCY7",0.00322751078794436,"RNA_processing","Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=1","","cytosol;nucleus","nucleic acid binding activity"
"A0A1B0GTG2",0.00321421411148815,"xenobiotics_&_alcohol_metabolism","Alpha-aminoadipic semialdehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH7A1 PE=1 SV=1","","cytosol;mitochondrion","other molecular function"
"O95147",0.00320172877283659,"intracellular_signalling","Dual specificity protein phosphatase 14 OS=Homo sapiens OX=9606 GN=DUSP14 PE=1 SV=1","protein metabolism;other metabolic processes","","other molecular function"
"Q7Z4W1",0.00320161201296369,"additional_carb_catabolic_process","L-xylulose reductase OS=Homo sapiens OX=9606 GN=DCXR PE=1 SV=2","other metabolic processes;other biological processes","plasma membrane;other membranes;cytoskeleton;other cell component","other molecular function"
"O43264",0.00319180452149752,"cell_division","Centromere/kinetochore protein zw10 homolog OS=Homo sapiens OX=9606 GN=ZW10 PE=1 SV=3","cell cycle OR cell proliferation;cell organization and biogenesis;transport;signal transduction;other biological processes","other membranes;cytosol;cytoskeleton;ER/Golgi;nucleus;other cell component","nucleic acid binding activity"
"K7ELW0",0.0031008864333717,"oxidative_stress_response","Parkinson disease protein 7 OS=Homo sapiens OX=9606 GN=PARK7 PE=1 SV=1","other metabolic processes","cytosol;nucleus",""
"Q9NZD1",0.00306803334894262,"intracellular_signalling","G-protein coupled receptor family C group 5 member D OS=Homo sapiens OX=9606 GN=GPRC5D PE=1 SV=1","signal transduction;other biological processes","non-structural extracellular;plasma membrane;other membranes;other cell component","enzyme regulator activity;other molecular function"
"P33764",0.00305090171142042,"cell_differentiation","Protein S100-A3 OS=Homo sapiens OX=9606 GN=S100A3 PE=1 SV=1","","plasma membrane;other membranes;cytosol;ER/Golgi","other molecular function"
"P18206",0.00304082236873387,"cell_adhesion_&_contact","Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4","cell adhesion;cell organization and biogenesis;developmental processes;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;cytoskeleton;other cell component","cytoskeletal activity;other molecular function"
"H0Y645",0.00303258778380034,"protein_modification","Casein kinase I isoform epsilon (Fragment) OS=Homo sapiens OX=9606 GN=CSNK1E PE=1 SV=1","protein metabolism;other metabolic processes","","kinase activity;other molecular function"
"Q9NRX4",0.00302790696860549,"protein_modification","14 kDa phosphohistidine phosphatase OS=Homo sapiens OX=9606 GN=PHPT1 PE=1 SV=1","protein metabolism;other metabolic processes;other biological processes","plasma membrane;other membranes;cytosol;nucleus","other molecular function"
"P02538",0.0030243963491594,"structural_proteins_hair_nail_epidermis","Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3","cell organization and biogenesis;stress response;other biological processes","cytosol;cytoskeleton","cytoskeletal activity"
"Q8IUC0",0.0030069070443684,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 13-1 OS=Homo sapiens OX=9606 GN=KRTAP13-1 PE=2 SV=2","","cytosol;cytoskeleton",""
"H3BRG4",0.00300342123872777,"oxidative_phosphorylation","Cytochrome b-c1 complex subunit 2, mitochondrial OS=Homo sapiens OX=9606 GN=UQCRC2 PE=1 SV=1","protein metabolism","mitochondrion;nucleus","other molecular function"
"P48594",0.00298152603484942,"intracellular_proteolysis","Serpin B4 OS=Homo sapiens OX=9606 GN=SERPINB4 PE=1 SV=2","other biological processes","non-structural extracellular;other cell component","enzyme regulator activity;other molecular function"
"Q00577",0.00292904642504668,"transcription","Transcriptional activator protein Pur-alpha OS=Homo sapiens OX=9606 GN=PURA PE=1 SV=2","cell cycle OR cell proliferation;cell organization and biogenesis;DNA metabolism;other metabolic processes;transport;developmental processes;other biological processes","nucleus;other cell component","nucleic acid binding activity;other molecular function"
"O94919",0.00292364877734809,"further_DNA_metabolism","Endonuclease domain-containing 1 protein OS=Homo sapiens OX=9606 GN=ENDOD1 PE=1 SV=2","other metabolic processes","non-structural extracellular;cytosol","nucleic acid binding activity;other molecular function"
"Q02878",0.00291685561029434,"translation","60S ribosomal protein L6 OS=Homo sapiens OX=9606 GN=RPL6 PE=1 SV=3","cell organization and biogenesis;protein metabolism;other metabolic processes;other biological processes","cytosol;ER/Golgi;translational apparatus;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"Q5VYD6",0.00290820358191982,"intracellular_signalling","HCLS1-associated protein X-1 (Fragment) OS=Homo sapiens OX=9606 GN=HAX1 PE=1 SV=1","other biological processes","mitochondrion",""
"P39656",0.00289718540996225,"protein_modification","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens OX=9606 GN=DDOST PE=1 SV=4","protein metabolism;other metabolic processes;other biological processes","plasma membrane;other membranes;ER/Golgi;other cytoplasmic organelle;other cell component","enzyme regulator activity"
"Q9H2C0",0.00288746909765782,"cell_organization","Gigaxonin OS=Homo sapiens OX=9606 GN=GAN PE=1 SV=1","cell organization and biogenesis;protein metabolism;other metabolic processes","cytosol;cytoskeleton;other cell component",""
"P63244",0.00288466603328185,"intracellular_signalling","Receptor of activated protein C kinase 1 OS=Homo sapiens OX=9606 GN=RACK1 PE=1 SV=3","cell cycle OR cell proliferation;protein metabolism;other metabolic processes;developmental processes;other biological processes","plasma membrane;cytosol;mitochondrion;translational apparatus;nucleus;other cell component","signal transduction activity or receptor binding;enzyme regulator activity;translation activity;other molecular function"
"A0A140T9R8",0.0028537674600176,"intracellular_signalling","Lymphocyte antigen 6 complex locus protein G6d (Fragment) OS=Homo sapiens OX=9606 GN=LY6G6D PE=1 SV=1","","plasma membrane;other membranes",""
"A0A494C1T9",0.00284545278399555,"cell_organization","Protein FAM83H OS=Homo sapiens OX=9606 GN=FAM83H PE=1 SV=1","","",""
"J3KRC4",0.00283054562718382,"nucleotide/-side_metabolism","5'(3')-deoxyribonucleotidase, cytosolic type OS=Homo sapiens OX=9606 GN=NT5C PE=1 SV=1","other metabolic processes","cytosol","other molecular function"
"Q3LI83",0.00282484845290896,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 24-1 OS=Homo sapiens OX=9606 GN=KRTAP24-1 PE=2 SV=1","","cytosol;cytoskeleton","other molecular function"
"P78310",0.00281911293591619,"cell_adhesion_&_contact","Coxsackievirus and adenovirus receptor OS=Homo sapiens OX=9606 GN=CXADR PE=1 SV=1","cell adhesion;cell organization and biogenesis;stress response;transport;developmental processes;other biological processes","non-structural extracellular;plasma membrane;other membranes;nucleus;other cell component","signal transduction activity or receptor binding;other molecular function"
"P41250",0.00281798996051108,"tRNA_metabolism","Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS1 PE=1 SV=3","protein metabolism;RNA metabolism OR transcription;other metabolic processes","non-structural extracellular;cytosol;mitochondrion;other cell component","other molecular function"
"A8MXZ3",0.00280858693866845,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 9-1 OS=Homo sapiens OX=9606 GN=KRTAP9-1 PE=3 SV=1","","cytosol;cytoskeleton",""
"Q8IUC1",0.00279611386043455,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 11-1 OS=Homo sapiens OX=9606 GN=KRTAP11-1 PE=1 SV=1","","cytosol;cytoskeleton",""
"P56385",0.00277464988333493,"oxidative_phosphorylation","ATP synthase subunit e, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5ME PE=1 SV=2","other metabolic processes;transport","other membranes;mitochondrion","transporter activity;other molecular function"
"P11279",0.00277367960371741,"cell_organization","Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens OX=9606 GN=LAMP1 PE=1 SV=3","transport;signal transduction;other biological processes","plasma membrane;other membranes;cytosol;ER/Golgi;other cytoplasmic organelle;other cell component","other molecular function"
"Q5TAE8",0.00276435242064247,"protein_folding","ERO1-like protein beta (Fragment) OS=Homo sapiens OX=9606 GN=ERO1B PE=1 SV=1","other biological processes","other membranes;ER/Golgi","other molecular function"
"E7EU96",0.00276121471748259,"cell_cycle_regulation","Casein kinase II subunit alpha OS=Homo sapiens OX=9606 GN=CSNK2A1 PE=1 SV=1","protein metabolism;other metabolic processes","","kinase activity;other molecular function"
"Q8NDW8",0.0027586989976964,"spermatic_development_&_function","Tetratricopeptide repeat protein 21A OS=Homo sapiens OX=9606 GN=TTC21A PE=1 SV=3","cell organization and biogenesis;transport;other biological processes","other cell component",""
"P07108",0.00275806564121417,"intracellular_transport","Acyl-CoA-binding protein OS=Homo sapiens OX=9606 GN=DBI PE=1 SV=2","other metabolic processes;other biological processes","ER/Golgi;other cell component","signal transduction activity or receptor binding;other molecular function"
"P21291",0.00275639857009382,"cell_organization","Cysteine and glycine-rich protein 1 OS=Homo sapiens OX=9606 GN=CSRP1 PE=1 SV=3","cell organization and biogenesis;other biological processes","cytoskeleton;nucleus;other cell component","cytoskeletal activity;other molecular function"
"O43598",0.00274715736704528,"nucleotide/-side_metabolism","2'-deoxynucleoside 5'-phosphate N-hydrolase 1 OS=Homo sapiens OX=9606 GN=DNPH1 PE=1 SV=1","other metabolic processes;other biological processes","cytosol;nucleus","other molecular function"
"Q9H425",0.00273846228039966,"(none/unknown)","Uncharacterized protein C1orf198 OS=Homo sapiens OX=9606 GN=C1orf198 PE=1 SV=1","","cytosol",""
"Q5JVD6",0.00270520696770703,"cell_organization","Centriolin (Fragment) OS=Homo sapiens OX=9606 GN=CNTRL PE=1 SV=1","other biological processes","cytoskeleton","cytoskeletal activity"
"P60411",0.00270300110057127,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 10-9 OS=Homo sapiens OX=9606 GN=KRTAP10-9 PE=1 SV=2","","cytosol;cytoskeleton",""
"P50402",0.00266681836574498,"cell_organization","Emerin OS=Homo sapiens OX=9606 GN=EMD PE=1 SV=1","cell organization and biogenesis;developmental processes;other biological processes","other membranes;cytosol;cytoskeleton;ER/Golgi;nucleus;other cell component","cytoskeletal activity"
"P49327",0.00262820197405171,"lipid_anabolic_process","Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3","other metabolic processes;developmental processes;other biological processes","plasma membrane;other membranes;cytosol;ER/Golgi;other cell component","other molecular function"
"P46776",0.00262728968007621,"translation","60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=2","protein metabolism;other metabolic processes","cytosol;ER/Golgi;translational apparatus","other molecular function"
"P49189",0.00262116421399157,"neurotransmitter_&_-modulator_metabolism","4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH9A1 PE=1 SV=3","cell organization and biogenesis;other metabolic processes","cytosol;other cell component","other molecular function"
"P60413",0.00261238252922508,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 10-12 OS=Homo sapiens OX=9606 GN=KRTAP10-12 PE=2 SV=1","","cytosol;cytoskeleton",""
"H7C1Q3",0.00258976012021616,"protein_modification","Protein-cysteine N-palmitoyltransferase HHAT-like protein (Fragment) OS=Homo sapiens OX=9606 GN=HHATL PE=1 SV=1","other biological processes","other membranes",""
"P35908",0.00258180826722154,"structural_proteins_hair_nail_epidermis","Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2","cell cycle OR cell proliferation;cell organization and biogenesis;protein metabolism;other metabolic processes;developmental processes;other biological processes","plasma membrane;cytosol;cytoskeleton","bone, tooth or skin structural activity;cytoskeletal activity"
"P04040",0.0025750540968762,"oxidative_stress_response","Catalase OS=Homo sapiens OX=9606 GN=CAT PE=1 SV=3","protein metabolism;other metabolic processes;stress response;developmental processes;other biological processes","non-structural extracellular;plasma membrane;other membranes;cytosol;mitochondrion;ER/Golgi;other cytoplasmic organelle;other cell component","other molecular function"
"A6NLN1",0.00257468763558123,"RNA_processing","Polypyrimidine tract binding protein 1, isoform CRA_b OS=Homo sapiens OX=9606 GN=PTBP1 PE=1 SV=4","RNA metabolism OR transcription;other metabolic processes","nucleus","nucleic acid binding activity"
"F6RFD5",0.00257044271488845,"cell_organization","Destrin OS=Homo sapiens OX=9606 GN=DSTN PE=1 SV=1","cell organization and biogenesis;other biological processes","cytoskeleton","cytoskeletal activity"
"P26641",0.00254905682286283,"translation","Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3","protein metabolism;other metabolic processes;other biological processes","cytosol;other cell component","nucleic acid binding activity"
"Q96P70",0.00254304328688539,"nuclear_transport","Importin-9 OS=Homo sapiens OX=9606 GN=IPO9 PE=1 SV=3","transport","cytosol;nucleus;other cell component","other molecular function"
"P19367",0.00254045199577381,"glycolysis","Hexokinase-1 OS=Homo sapiens OX=9606 GN=HK1 PE=1 SV=3","other metabolic processes;stress response;other biological processes","other membranes;cytosol;mitochondrion","kinase activity;other molecular function"
"P23246",0.00254043605212516,"RNA_processing","Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2","protein metabolism;DNA metabolism;RNA metabolism OR transcription;other metabolic processes;stress response;transport;other biological processes","cytosol;nucleus;other cell component","nucleic acid binding activity;other molecular function"
"P05198",0.00252241578875667,"translation","Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3","cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;signal transduction;other biological processes","cytosol;translational apparatus;nucleus;other cell component","translation activity;nucleic acid binding activity"
"P30044",0.00251117897192097,"oxidative_stress_response","Peroxiredoxin-5, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX5 PE=1 SV=4","other metabolic processes;stress response;other biological processes","cytosol;mitochondrion;nucleus;other cytoplasmic organelle;other cell component","signal transduction activity or receptor binding;enzyme regulator activity;nucleic acid binding activity;other molecular function"
"P60369",0.00250587976598685,"structural_proteins_hair_nail_epidermis","Keratin-associated protein 10-3 OS=Homo sapiens OX=9606 GN=KRTAP10-3 PE=2 SV=2","","cytosol;cytoskeleton",""
"P02768",0.00250074306991654,"colloid_osmotic_pressure_regulation","Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2","stress response;other biological processes","non-structural extracellular;ER/Golgi;other cell component","nucleic acid binding activity;other molecular function"
"P57058",0.00249699832321801,"intracellular_signalling","Hormonally up-regulated neu tumor-associated kinase OS=Homo sapiens OX=9606 GN=HUNK PE=1 SV=1","protein metabolism;other metabolic processes;developmental processes;signal transduction","nucleus;other cell component","kinase activity;other molecular function"
"P30050",0.00249685692420945,"translation","60S ribosomal protein L12 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1","protein metabolism;other metabolic processes","cytosol;translational apparatus;other cell component","nucleic acid binding activity;other molecular function"
"P07305",0.00248603793855167,"DNA_packaging","Histone H1.0 OS=Homo sapiens OX=9606 GN=H1-0 PE=1 SV=3","cell organization and biogenesis;other biological processes","cytoskeleton;ER/Golgi;nucleus;other cell component","nucleic acid binding activity"
"P10412",0.00247683752168906,"DNA_packaging","Histone H1.4 OS=Homo sapiens OX=9606 GN=H1-4 PE=1 SV=2","cell organization and biogenesis;other biological processes","nucleus;other cell component","nucleic acid binding activity;other molecular function"
"A0A0G2JIW1",0.00245812670214946,"protein_folding","Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1","","","other molecular function"
"A0A669KB35",0.00245152049993369,"intracellular_signalling","C-Jun-amino-terminal kinase-interacting protein 3 OS=Homo sapiens OX=9606 GN=MAPK8IP3 PE=4 SV=1","other biological processes","other cell component","other molecular function"
"Q6P1J6",0.00245105738604667,"membrane_lipid_metabolism","Phospholipase B1, membrane-associated OS=Homo sapiens OX=9606 GN=PLB1 PE=1 SV=3","other metabolic processes;other biological processes","plasma membrane;other membranes","other molecular function"
"P27348",0.00245014970117401,"intracellular_signalling","14-3-3 protein theta OS=Homo sapiens OX=9606 GN=YWHAQ PE=1 SV=1","transport;signal transduction;other biological processes","cytosol;other cell component","other molecular function"
"Q5JW98",0.00244616278334738,"ion_transmembrane_transport","Calcium homeostasis modulator protein 4 OS=Homo sapiens OX=9606 GN=CALHM4 PE=2 SV=1","transport","plasma membrane;other membranes","transporter activity"
"P07858",0.00244071838430476,"intracellular_proteolysis","Cathepsin B OS=Homo sapiens OX=9606 GN=CTSB PE=1 SV=3","protein metabolism;other metabolic processes;developmental processes;other biological processes","non-structural extracellular;plasma membrane;other membranes;other cytoplasmic organelle;other cell component","other molecular function"
"Q93077",0.0024398729131194,"DNA_packaging","Histone H2A type 1-C OS=Homo sapiens OX=9606 GN=H2AC6 PE=1 SV=3","cell organization and biogenesis;other biological processes","nucleus;other cell component","nucleic acid binding activity;other molecular function"
